word,x,y,x_mod,y_mod
part,-6.489903927,-58.17776871,-64.89903927,-581.7776871
excess,40.86312866,-12.03258038,408.6312866,-120.3258038
acidification,3.153822422,-27.08227539,31.53822422,-270.8227539
underwater,3.526950598,-26.99585724,35.26950598,-269.9585724
particularly,2.796970367,-25.85489464,27.96970367,-258.5489464
creatures,2.079227209,-25.88373184,20.79227209,-258.8373184
corals,7.492776394,-30.22225761,74.92776394,-302.2225761
huge,-2.831861973,-38.33242416,-28.31861973,-383.3242416
impact,-3.608016491,-54.07708359,-36.08016491,-540.7708359
Pacific,26.28189659,-28.89784622,262.8189659,-288.9784622
industry,-1.135261774,-4.607111454,-11.35261774,-46.07111454
nearly,-4.407328129,-23.2987442,-44.07328129,-232.987442
million,-10.01323032,-36.79254913,-100.1323032,-367.9254913
states,-4.132758617,-5.573574543,-41.32758617,-55.73574543
depend,3.9805758,-19.34211922,39.805758,-193.4211922
nationwide,6.375888348,-34.93568039,63.75888348,-349.3568039
similar,-13.2511034,-34.87513733,-132.511034,-348.7513733
long,48.55528641,-31.36194229,485.5528641,-313.6194229
term,48.55419159,-31.36091614,485.5419159,-313.6091614
economic,33.00862503,-30.40460014,330.0862503,-304.0460014
polar,-18.92301178,-31.27239037,-189.2301178,-312.7239037
regions,10.41197014,-38.9076767,104.1197014,-389.076767
vulnerable,5.805919647,-34.70954514,58.05919647,-347.0954514
Average,-24.2007122,-36.75281143,-242.007122,-367.5281143
Arctic,-0.599674404,-51.34709549,-5.99674404,-513.4709549
rising,19.50061035,-31.67174911,195.0061035,-316.7174911
fast,18.18582153,-39.81923676,181.8582153,-398.1923676
elsewhere,18.29050255,-39.83755112,182.9050255,-398.3755112
sheets,-5.673131466,-47.1326561,-56.73131466,-471.326561
melting,-1.899551988,-48.81909561,-18.99551988,-488.1909561
region,-39.84858704,14.02834702,-398.4858704,140.2834702
levels,18.58420944,-20.56760216,185.8420944,-205.6760216
By,2.586280823,34.85030746,25.86280823,348.5030746
estimated,-4.295407772,-24.63817596,-42.95407772,-246.3817596
feet,16.39907455,-35.81825638,163.9907455,-358.1825638
coastal,9.681246758,-29.86896896,96.81246758,-298.6896896
lying,42.99781418,25.7917347,429.9781418,257.917347
entire,-1.805934072,-23.39550781,-18.05934072,-233.9550781
island,31.69116592,-16.65719223,316.9116592,-166.5719223
nations,-11.06115532,-5.21695137,-110.6115532,-52.1695137
